entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
0 5 0 1 1996 1997 10985491.000000 10985491.000000 10985491.000000
5 10 0 1 1996 1997 8969314.000000 8969314.000000 8969314.000000
10 15 0 1 1996 1997 7653003.000000 7653003.000000 7653003.000000
15 20 0 1 1996 1997 6110043.000000 6110043.000000 6110043.000000
20 25 0 1 1996 1997 4996244.000000 4996244.000000 4996244.000000
25 30 0 1 1996 1997 4075161.000000 4075161.000000 4075161.000000
30 35 0 1 1996 1997 3264819.000000 3264819.000000 3264819.000000
35 40 0 1 1996 1997 2805195.000000 2805195.000000 2805195.000000
40 45 0 1 1996 1997 2350286.000000 2350286.000000 2350286.000000
45 50 0 1 1996 1997 2044906.000000 2044906.000000 2044906.000000
50 55 0 1 1996 1997 1681710.000000 1681710.000000 1681710.000000
55 60 0 1 1996 1997 1303426.000000 1303426.000000 1303426.000000
60 65 0 1 1996 1997 1089460.000000 1089460.000000 1089460.000000
65 70 0 1 1996 1997 738074.000000 738074.000000 738074.000000
70 120 0 1 1996 1997 1088016.000000 1088016.000000 1088016.000000
0 5 0 1 1997 1998 11369768.000000 11369768.000000 11369768.000000
5 10 0 1 1997 1998 9231375.000000 9231375.000000 9231375.000000
10 15 0 1 1997 1998 7866127.000000 7866127.000000 7866127.000000
15 20 0 1 1997 1998 6390968.000000 6390968.000000 6390968.000000
20 25 0 1 1997 1998 5146785.000000 5146785.000000 5146785.000000
25 30 0 1 1997 1998 4222509.000000 4222509.000000 4222509.000000
30 35 0 1 1997 1998 3372451.000000 3372451.000000 3372451.000000
35 40 0 1 1997 1998 2842571.000000 2842571.000000 2842571.000000
40 45 0 1 1997 1998 2406682.000000 2406682.000000 2406682.000000
45 50 0 1 1997 1998 2065394.000000 2065394.000000 2065394.000000
50 55 0 1 1997 1998 1733504.000000 1733504.000000 1733504.000000
55 60 0 1 1997 1998 1343705.000000 1343705.000000 1343705.000000
60 65 0 1 1997 1998 1096716.000000 1096716.000000 1096716.000000
65 70 0 1 1997 1998 782575.000000 782575.000000 782575.000000
70 120 0 1 1997 1998 1105320.000000 1105320.000000 1105320.000000
0 5 0 1 1998 1999 11741502.000000 11741502.000000 11741502.000000
5 10 0 1 1998 1999 9498364.000000 9498364.000000 9498364.000000
10 15 0 1 1998 1999 8057962.000000 8057962.000000 8057962.000000
15 20 0 1 1998 1999 6684645.000000 6684645.000000 6684645.000000
20 25 0 1 1998 1999 5299220.000000 5299220.000000 5299220.000000
25 30 0 1 1998 1999 4372324.000000 4372324.000000 4372324.000000
30 35 0 1 1998 1999 3493395.000000 3493395.000000 3493395.000000
35 40 0 1 1998 1999 2877490.000000 2877490.000000 2877490.000000
40 45 0 1 1998 1999 2468498.000000 2468498.000000 2468498.000000
45 50 0 1 1998 1999 2079525.000000 2079525.000000 2079525.000000
50 55 0 1 1998 1999 1782376.000000 1782376.000000 1782376.000000
55 60 0 1 1998 1999 1390090.000000 1390090.000000 1390090.000000
60 65 0 1 1998 1999 1099307.000000 1099307.000000 1099307.000000
65 70 0 1 1998 1999 831247.000000 831247.000000 831247.000000
70 120 0 1 1998 1999 1118206.000000 1118206.000000 1118206.000000
0 5 0 1 1999 2000 12088308.000000 12088308.000000 12088308.000000
5 10 0 1 1999 2000 9773505.000000 9773505.000000 9773505.000000
10 15 0 1 1999 2000 8252776.000000 8252776.000000 8252776.000000
15 20 0 1 1999 2000 6968477.000000 6968477.000000 6968477.000000
20 25 0 1 1999 2000 5475434.000000 5475434.000000 5475434.000000
25 30 0 1 1999 2000 4525286.000000 4525286.000000 4525286.000000
30 35 0 1 1999 2000 3623869.000000 3623869.000000 3623869.000000
35 40 0 1 1999 2000 2925224.000000 2925224.000000 2925224.000000
40 45 0 1 1999 2000 2528160.000000 2528160.000000 2528160.000000
45 50 0 1 1999 2000 2098561.000000 2098561.000000 2098561.000000
50 55 0 1 1999 2000 1825655.000000 1825655.000000 1825655.000000
55 60 0 1 1999 2000 1439078.000000 1439078.000000 1439078.000000
60 65 0 1 1999 2000 1108914.000000 1108914.000000 1108914.000000
65 70 0 1 1999 2000 873633.000000 873633.000000 873633.000000
70 120 0 1 1999 2000 1133174.000000 1133174.000000 1133174.000000
0 5 0 1 2000 2001 12409891.000000 12409891.000000 12409891.000000
5 10 0 1 2000 2001 10053437.000000 10053437.000000 10053437.000000
10 15 0 1 2000 2001 8465789.000000 8465789.000000 8465789.000000
15 20 0 1 2000 2001 7228823.000000 7228823.000000 7228823.000000
20 25 0 1 2000 2001 5689034.000000 5689034.000000 5689034.000000
25 30 0 1 2000 2001 4681838.000000 4681838.000000 4681838.000000
30 35 0 1 2000 2001 3761574.000000 3761574.000000 3761574.000000
35 40 0 1 2000 2001 2995554.000000 2995554.000000 2995554.000000
40 45 0 1 2000 2001 2581061.000000 2581061.000000 2581061.000000
45 50 0 1 2000 2001 2130001.000000 2130001.000000 2130001.000000
50 55 0 1 2000 2001 1861629.000000 1861629.000000 1861629.000000
55 60 0 1 2000 2001 1488562.000000 1488562.000000 1488562.000000
60 65 0 1 2000 2001 1131694.000000 1131694.000000 1131694.000000
65 70 0 1 2000 2001 904799.000000 904799.000000 904799.000000
70 120 0 1 2000 2001 1153645.000000 1153645.000000 1153645.000000
0 5 0 1 2001 2002 12799873.000000 12799873.000000 12799873.000000
5 10 0 1 2001 2002 10405554.000000 10405554.000000 10405554.000000
10 15 0 1 2001 2002 8671284.000000 8671284.000000 8671284.000000
15 20 0 1 2001 2002 7416294.000000 7416294.000000 7416294.000000
20 25 0 1 2001 2002 5903711.000000 5903711.000000 5903711.000000
25 30 0 1 2001 2002 4819077.000000 4819077.000000 4819077.000000
30 35 0 1 2001 2002 3896075.000000 3896075.000000 3896075.000000
35 40 0 1 2001 2002 3077854.000000 3077854.000000 3077854.000000
40 45 0 1 2001 2002 2624601.000000 2624601.000000 2624601.000000
45 50 0 1 2001 2002 2174544.000000 2174544.000000 2174544.000000
50 55 0 1 2001 2002 1886769.000000 1886769.000000 1886769.000000
55 60 0 1 2001 2002 1534606.000000 1534606.000000 1534606.000000
60 65 0 1 2001 2002 1158972.000000 1158972.000000 1158972.000000
65 70 0 1 2001 2002 920608.000000 920608.000000 920608.000000
70 120 0 1 2001 2002 1202435.000000 1202435.000000 1202435.000000
0 5 0 1 2002 2003 13059852.000000 13059852.000000 13059852.000000
5 10 0 1 2002 2003 10807089.000000 10807089.000000 10807089.000000
10 15 0 1 2002 2003 8924420.000000 8924420.000000 8924420.000000
15 20 0 1 2002 2003 7592312.000000 7592312.000000 7592312.000000
20 25 0 1 2002 2003 6155244.000000 6155244.000000 6155244.000000
25 30 0 1 2002 2003 4956199.000000 4956199.000000 4956199.000000
30 35 0 1 2002 2003 4043440.000000 4043440.000000 4043440.000000
35 40 0 1 2002 2003 3185481.000000 3185481.000000 3185481.000000
40 45 0 1 2002 2003 2662223.000000 2662223.000000 2662223.000000
45 50 0 1 2002 2003 2236263.000000 2236263.000000 2236263.000000
50 55 0 1 2002 2003 1906626.000000 1906626.000000 1906626.000000
55 60 0 1 2002 2003 1585065.000000 1585065.000000 1585065.000000
60 65 0 1 2002 2003 1197820.000000 1197820.000000 1197820.000000
65 70 0 1 2002 2003 929107.000000 929107.000000 929107.000000
70 120 0 1 2002 2003 1256051.000000 1256051.000000 1256051.000000
0 5 0 1 2003 2004 13227950.000000 13227950.000000 13227950.000000
5 10 0 1 2003 2004 11235546.000000 11235546.000000 11235546.000000
10 15 0 1 2003 2004 9221717.000000 9221717.000000 9221717.000000
15 20 0 1 2003 2004 7766995.000000 7766995.000000 7766995.000000
20 25 0 1 2003 2004 6422055.000000 6422055.000000 6422055.000000
25 30 0 1 2003 2004 5100159.000000 5100159.000000 5100159.000000
30 35 0 1 2003 2004 4197798.000000 4197798.000000 4197798.000000
35 40 0 1 2003 2004 3313090.000000 3313090.000000 3313090.000000
40 45 0 1 2003 2004 2699799.000000 2699799.000000 2699799.000000
45 50 0 1 2003 2004 2306988.000000 2306988.000000 2306988.000000
50 55 0 1 2003 2004 1925850.000000 1925850.000000 1925850.000000
55 60 0 1 2003 2004 1635827.000000 1635827.000000 1635827.000000
60 65 0 1 2003 2004 1244709.000000 1244709.000000 1244709.000000
65 70 0 1 2003 2004 936423.000000 936423.000000 936423.000000
70 120 0 1 2003 2004 1310238.000000 1310238.000000 1310238.000000
0 5 0 1 2004 2005 13355819.000000 13355819.000000 13355819.000000
5 10 0 1 2004 2005 11652473.000000 11652473.000000 11652473.000000
10 15 0 1 2004 2005 9556632.000000 9556632.000000 9556632.000000
15 20 0 1 2004 2005 7958908.000000 7958908.000000 7958908.000000
20 25 0 1 2004 2005 6674309.000000 6674309.000000 6674309.000000
25 30 0 1 2004 2005 5263032.000000 5263032.000000 5263032.000000
30 35 0 1 2004 2005 4351415.000000 4351415.000000 4351415.000000
35 40 0 1 2004 2005 3450638.000000 3450638.000000 3450638.000000
40 45 0 1 2004 2005 2748933.000000 2748933.000000 2748933.000000
45 50 0 1 2004 2005 2373759.000000 2373759.000000 2373759.000000
50 55 0 1 2004 2005 1952144.000000 1952144.000000 1952144.000000
55 60 0 1 2004 2005 1681491.000000 1681491.000000 1681491.000000
60 65 0 1 2004 2005 1294692.000000 1294692.000000 1294692.000000
65 70 0 1 2004 2005 950764.000000 950764.000000 950764.000000
70 120 0 1 2004 2005 1359396.000000 1359396.000000 1359396.000000
0 5 0 1 2005 2006 13485013.000000 13485013.000000 13485013.000000
5 10 0 1 2005 2006 12012699.000000 12012699.000000 12012699.000000
10 15 0 1 2005 2006 9924079.000000 9924079.000000 9924079.000000
15 20 0 1 2005 2006 8184303.000000 8184303.000000 8184303.000000
