entries = 304 
description 	 index 	 amin 	 amax 	 emin 	 emax 	 value 	 interval 
ni+ 	 10 	 50 	 55 	 0 	 1 	 0.003778149213 	 0.003778149213 	 0.003778149213 
ni+ 	 10 	 55 	 60 	 0 	 1 	 0.003932554984 	 0.003932554984 	 0.003932554984 
ni+ 	 10 	 60 	 65 	 0 	 1 	 0.004118763545 	 0.004118763545 	 0.004118763545 
ni+ 	 10 	 65 	 70 	 0 	 1 	 0.004056177012 	 0.004056177012 	 0.004056177012 
ni+ 	 10 	 70 	 75 	 0 	 1 	 0.003794124204 	 0.003794124204 	 0.003794124204 
ni+ 	 10 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi- 	 11 	 0 	 5 	 0 	 1 	 0.000106919527 	 0.000106919527 	 0.000106919527 
defi- 	 11 	 5 	 10 	 0 	 1 	 0.000219507710 	 0.000219507710 	 0.000219507710 
defi- 	 11 	 10 	 15 	 0 	 1 	 0.000596406709 	 0.000596406709 	 0.000596406709 
defi- 	 11 	 15 	 20 	 0 	 1 	 0.000927003079 	 0.000927003079 	 0.000927003079 
defi- 	 11 	 20 	 25 	 0 	 1 	 0.001463541313 	 0.001463541313 	 0.001463541313 
defi- 	 11 	 25 	 30 	 0 	 1 	 0.002071809582 	 0.002071809582 	 0.002071809582 
defi- 	 11 	 30 	 35 	 0 	 1 	 0.002638756521 	 0.002638756521 	 0.002638756521 
defi- 	 11 	 35 	 40 	 0 	 1 	 0.003113392328 	 0.003113392328 	 0.003113392328 
defi- 	 11 	 40 	 45 	 0 	 1 	 0.003517763610 	 0.003517763610 	 0.003517763610 
defi- 	 11 	 45 	 50 	 0 	 1 	 0.003857103948 	 0.003857103948 	 0.003857103948 
defi- 	 11 	 50 	 55 	 0 	 1 	 0.004185988645 	 0.004185988645 	 0.004185988645 
defi- 	 11 	 55 	 60 	 0 	 1 	 0.004547677015 	 0.004547677015 	 0.004547677015 
defi- 	 11 	 60 	 65 	 0 	 1 	 0.004913171209 	 0.004913171209 	 0.004913171209 
defi- 	 11 	 65 	 70 	 0 	 1 	 0.005146654322 	 0.005146654322 	 0.005146654322 
defi- 	 11 	 70 	 75 	 0 	 1 	 0.005395853578 	 0.005395853578 	 0.005395853578 
defi- 	 11 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
ni- 	 12 	 0 	 5 	 0 	 1 	 0.000183904604 	 0.000183904604 	 0.000183904604 
ni- 	 12 	 5 	 10 	 0 	 1 	 0.000337593908 	 0.000337593908 	 0.000337593908 
ni- 	 12 	 10 	 15 	 0 	 1 	 0.000926551896 	 0.000926551896 	 0.000926551896 
ni- 	 12 	 15 	 20 	 0 	 1 	 0.001322545309 	 0.001322545309 	 0.001322545309 
ni- 	 12 	 20 	 25 	 0 	 1 	 0.002059125548 	 0.002059125548 	 0.002059125548 
ni- 	 12 	 25 	 30 	 0 	 1 	 0.002809537219 	 0.002809537219 	 0.002809537219 
ni- 	 12 	 30 	 35 	 0 	 1 	 0.003401761256 	 0.003401761256 	 0.003401761256 
ni- 	 12 	 35 	 40 	 0 	 1 	 0.003796403231 	 0.003796403231 	 0.003796403231 
ni- 	 12 	 40 	 45 	 0 	 1 	 0.004059558581 	 0.004059558581 	 0.004059558581 
ni- 	 12 	 45 	 50 	 0 	 1 	 0.004242618321 	 0.004242618321 	 0.004242618321 
ni- 	 12 	 50 	 55 	 0 	 1 	 0.004397376398 	 0.004397376398 	 0.004397376398 
