entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
0 5 0 1 2024 2025 23190216.000000 19379688.000000 27115934.000000
5 10 0 1 2024 2025 23946912.000000 21794824.000000 25891736.000000
10 15 0 1 2024 2025 24311586.000000 24226908.000000 24311586.000000
15 20 0 1 2024 2025 23371664.000000 23371664.000000 23435830.000000
20 25 0 1 2024 2025 23114216.000000 23032016.000000 23114216.000000
25 30 0 1 2024 2025 21803680.000000 21803680.000000 21856784.000000
30 35 0 1 2024 2025 21214052.000000 21214052.000000 21215686.000000
35 40 0 1 2024 2025 20694590.000000 20692156.000000 20694590.000000
40 45 0 1 2024 2025 20273596.000000 20181946.000000 20273596.000000
45 50 0 1 2024 2025 18571054.000000 18571054.000000 18596474.000000
50 55 0 1 2024 2025 16950308.000000 16906276.000000 16950308.000000
55 60 0 1 2024 2025 14499235.000000 14498963.000000 14499235.000000
60 65 0 1 2024 2025 11547291.000000 11547291.000000 11578058.000000
65 70 0 1 2024 2025 8491253.000000 8483829.000000 8491253.000000
70 120 0 1 2024 2025 10396925.000000 10396925.000000 10449410.000000
0 5 0 1 2025 2026 23110520.000000 18917952.000000 27303092.000000
5 10 0 1 2025 2026 23687912.000000 21127340.000000 26248480.000000
10 15 0 1 2025 2026 24391102.000000 24391100.000000 24391102.000000
15 20 0 1 2025 2026 23418938.000000 23418938.000000 23418938.000000
20 25 0 1 2025 2026 23236472.000000 23236472.000000 23236472.000000
25 30 0 1 2025 2026 21934544.000000 21934544.000000 21934544.000000
30 35 0 1 2025 2026 21281884.000000 21281884.000000 21281884.000000
35 40 0 1 2025 2026 20677336.000000 20677336.000000 20677336.000000
40 45 0 1 2025 2026 20423900.000000 20423900.000000 20423900.000000
45 50 0 1 2025 2026 18798044.000000 18798044.000000 18798044.000000
50 55 0 1 2025 2026 17222606.000000 17222606.000000 17222606.000000
55 60 0 1 2025 2026 14892055.000000 14892055.000000 14892055.000000
60 65 0 1 2025 2026 11932718.000000 11932718.000000 11932718.000000
65 70 0 1 2025 2026 8906467.000000 8906467.000000 8906467.000000
70 120 0 1 2025 2026 10836543.000000 10836543.000000 10836543.000000
0 5 0 1 2026 2027 23093820.000000 18585822.000000 27435184.000000
5 10 0 1 2026 2027 23500442.000000 20668928.000000 26437194.000000
10 15 0 1 2026 2027 24357992.000000 23726262.000000 24748264.000000
15 20 0 1 2026 2027 23534164.000000 23534164.000000 23584072.000000
20 25 0 1 2026 2027 23288324.000000 23222010.000000 23288324.000000
25 30 0 1 2026 2027 22125436.000000 22125436.000000 22140064.000000
30 35 0 1 2026 2027 21347298.000000 21347298.000000 21361514.000000
35 40 0 1 2026 2027 20698048.000000 20698048.000000 20745796.000000
40 45 0 1 2026 2027 20489692.000000 20412750.000000 20489692.000000
45 50 0 1 2026 2027 19035916.000000 19035916.000000 19039896.000000
50 55 0 1 2026 2027 17434728.000000 17423772.000000 17434728.000000
55 60 0 1 2026 2027 15214030.000000 15200383.000000 15214030.000000
60 65 0 1 2026 2027 12267784.000000 12267784.000000 12304653.000000
65 70 0 1 2026 2027 9232205.000000 9229274.000000 9232205.000000
70 120 0 1 2026 2027 11436128.000000 11436128.000000 11454867.000000
0 5 0 1 2027 2028 23007704.000000 18253692.000000 27567278.000000
5 10 0 1 2027 2028 23347424.000000 20210516.000000 26625908.000000
10 15 0 1 2027 2028 24229560.000000 23061424.000000 25105426.000000
15 20 0 1 2027 2028 23740362.000000 23740362.000000 23749206.000000
20 25 0 1 2027 2028 23249732.000000 23207548.000000 23249732.000000
25 30 0 1 2027 2028 22371784.000000 22345584.000000 22371784.000000
30 35 0 1 2027 2028 21400360.000000 21400360.000000 21441144.000000
35 40 0 1 2027 2028 20763046.000000 20763046.000000 20814254.000000
40 45 0 1 2027 2028 20480028.000000 20401598.000000 20480028.000000
45 50 0 1 2027 2028 19318566.000000 19281750.000000 19318566.000000
50 55 0 1 2027 2028 17621752.000000 17621752.000000 17624936.000000
55 60 0 1 2027 2028 15536374.000000 15508711.000000 15536374.000000
60 65 0 1 2027 2028 12632660.000000 12632660.000000 12676589.000000
65 70 0 1 2027 2028 9537437.000000 9537437.000000 9552081.000000
70 120 0 1 2027 2028 12054978.000000 12054978.000000 12073191.000000
0 5 0 1 2028 2029 22866504.000000 17921564.000000 27699370.000000
5 10 0 1 2028 2029 23230972.000000 19752106.000000 26814620.000000
10 15 0 1 2028 2029 24030658.000000 22396588.000000 25462590.000000
15 20 0 1 2028 2029 23983662.000000 23914340.000000 23983662.000000
20 25 0 1 2028 2029 23168744.000000 23168744.000000 23193086.000000
25 30 0 1 2028 2029 22632508.000000 22551106.000000 22632508.000000
30 35 0 1 2028 2029 21458008.000000 21458008.000000 21520776.000000
35 40 0 1 2028 2029 20856356.000000 20856356.000000 20882714.000000
40 45 0 1 2028 2029 20426108.000000 20390448.000000 20426108.000000
45 50 0 1 2028 2029 19609804.000000 19523602.000000 19609804.000000
