entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
30 35 0 1 1989 1990 2561529.000000 2561529.000000 2561529.000000
35 40 0 1 1989 1990 2180841.000000 2180841.000000 2180841.000000
40 45 0 1 1989 1990 1682793.000000 1682793.000000 1682793.000000
45 50 0 1 1989 1990 1451009.000000 1451009.000000 1451009.000000
50 55 0 1 1989 1990 1181368.000000 1181368.000000 1181368.000000
55 60 0 1 1989 1990 960148.000000 960148.000000 960148.000000
60 65 0 1 1989 1990 743276.000000 743276.000000 743276.000000
65 70 0 1 1989 1990 533611.000000 533611.000000 533611.000000
70 120 0 1 1989 1990 739266.000000 739266.000000 739266.000000
0 5 0 1 1990 1991 5205673.000000 5205673.000000 5205673.000000
5 10 0 1 1990 1991 4986614.000000 4986614.000000 4986614.000000
10 15 0 1 1990 1991 4518792.000000 4518792.000000 4518792.000000
15 20 0 1 1990 1991 4006037.000000 4006037.000000 4006037.000000
20 25 0 1 1990 1991 3440745.000000 3440745.000000 3440745.000000
25 30 0 1 1990 1991 3013037.000000 3013037.000000 3013037.000000
30 35 0 1 1990 1991 2621717.000000 2621717.000000 2621717.000000
35 40 0 1 1990 1991 2269866.000000 2269866.000000 2269866.000000
40 45 0 1 1990 1991 1744859.000000 1744859.000000 1744859.000000
45 50 0 1 1990 1991 1488836.000000 1488836.000000 1488836.000000
50 55 0 1 1990 1991 1214627.000000 1214627.000000 1214627.000000
55 60 0 1 1990 1991 984962.000000 984962.000000 984962.000000
60 65 0 1 1990 1991 765863.000000 765863.000000 765863.000000
65 70 0 1 1990 1991 546844.000000 546844.000000 546844.000000
70 120 0 1 1990 1991 752053.000000 752053.000000 752053.000000
0 5 0 1 1991 1992 5189333.000000 5189333.000000 5189333.000000
5 10 0 1 1991 1992 5045736.000000 5045736.000000 5045736.000000
10 15 0 1 1991 1992 4613401.000000 4613401.000000 4613401.000000
15 20 0 1 1991 1992 4114549.000000 4114549.000000 4114549.000000
20 25 0 1 1991 1992 3552386.000000 3552386.000000 3552386.000000
25 30 0 1 1991 1992 3101592.000000 3101592.000000 3101592.000000
30 35 0 1 1991 1992 2699690.000000 2699690.000000 2699690.000000
35 40 0 1 1991 1992 2353958.000000 2353958.000000 2353958.000000
40 45 0 1 1991 1992 1828529.000000 1828529.000000 1828529.000000
45 50 0 1 1991 1992 1526046.000000 1526046.000000 1526046.000000
50 55 0 1 1991 1992 1256072.000000 1256072.000000 1256072.000000
55 60 0 1 1991 1992 1016015.000000 1016015.000000 1016015.000000
60 65 0 1 1991 1992 791568.000000 791568.000000 791568.000000
65 70 0 1 1991 1992 565655.000000 565655.000000 565655.000000
70 120 0 1 1991 1992 783325.000000 783325.000000 783325.000000
