entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
60 65 0 1 1978 1979 241524.000000 241524.000000 241524.000000
65 70 0 1 1978 1979 189043.000000 189043.000000 189043.000000
70 120 0 1 1978 1979 283212.000000 283212.000000 283212.000000
0 5 0 1 1979 1980 3229299.000000 3229299.000000 3229299.000000
5 10 0 1 1979 1980 2557403.000000 2557403.000000 2557403.000000
10 15 0 1 1979 1980 2037624.000000 2037624.000000 2037624.000000
15 20 0 1 1979 1980 1660082.000000 1660082.000000 1660082.000000
20 25 0 1 1979 1980 1344410.000000 1344410.000000 1344410.000000
25 30 0 1 1979 1980 1067407.000000 1067407.000000 1067407.000000
30 35 0 1 1979 1980 769625.000000 769625.000000 769625.000000
35 40 0 1 1979 1980 562397.000000 562397.000000 562397.000000
40 45 0 1 1979 1980 529725.000000 529725.000000 529725.000000
45 50 0 1 1979 1980 481185.000000 481185.000000 481185.000000
50 55 0 1 1979 1980 386159.000000 386159.000000 386159.000000
55 60 0 1 1979 1980 307323.000000 307323.000000 307323.000000
60 65 0 1 1979 1980 247333.000000 247333.000000 247333.000000
65 70 0 1 1979 1980 192831.000000 192831.000000 192831.000000
70 120 0 1 1979 1980 290049.000000 290049.000000 290049.000000
0 5 0 1 1980 1981 3347247.000000 3347247.000000 3347247.000000
5 10 0 1 1980 1981 2660071.000000 2660071.000000 2660071.000000
10 15 0 1 1980 1981 2122170.000000 2122170.000000 2122170.000000
15 20 0 1 1980 1981 1726358.000000 1726358.000000 1726358.000000
20 25 0 1 1980 1981 1397456.000000 1397456.000000 1397456.000000
25 30 0 1 1980 1981 1121461.000000 1121461.000000 1121461.000000
30 35 0 1 1980 1981 822858.000000 822858.000000 822858.000000
35 40 0 1 1980 1981 582908.000000 582908.000000 582908.000000
40 45 0 1 1980 1981 531580.000000 531580.000000 531580.000000
45 50 0 1 1980 1981 492025.000000 492025.000000 492025.000000
50 55 0 1 1980 1981 400581.000000 400581.000000 400581.000000
55 60 0 1 1980 1981 317117.000000 317117.000000 317117.000000
60 65 0 1 1980 1981 253753.000000 253753.000000 253753.000000
65 70 0 1 1980 1981 197286.000000 197286.000000 197286.000000
70 120 0 1 1980 1981 296119.000000 296119.000000 296119.000000
0 5 0 1 1981 1982 3472970.000000 3472970.000000 3472970.000000
5 10 0 1 1981 1982 2774434.000000 2774434.000000 2774434.000000
10 15 0 1 1981 1982 2211204.000000 2211204.000000 2211204.000000
15 20 0 1 1981 1982 1791897.000000 1791897.000000 1791897.000000
20 25 0 1 1981 1982 1451414.000000 1451414.000000 1451414.000000
25 30 0 1 1981 1982 1172240.000000 1172240.000000 1172240.000000
30 35 0 1 1981 1982 876657.000000 876657.000000 876657.000000
35 40 0 1 1981 1982 612319.000000 612319.000000 612319.000000
40 45 0 1 1981 1982 532296.000000 532296.000000 532296.000000
45 50 0 1 1981 1982 499209.000000 499209.000000 499209.000000
50 55 0 1 1981 1982 414719.000000 414719.000000 414719.000000
55 60 0 1 1981 1982 326749.000000 326749.000000 326749.000000
60 65 0 1 1981 1982 259128.000000 259128.000000 259128.000000
65 70 0 1 1981 1982 200705.000000 200705.000000 200705.000000
70 120 0 1 1981 1982 305736.000000 305736.000000 305736.000000
0 5 0 1 1982 1983 3599398.000000 3599398.000000 3599398.000000
5 10 0 1 1982 1983 2889645.000000 2889645.000000 2889645.000000
10 15 0 1 1982 1983 2307458.000000 2307458.000000 2307458.000000
15 20 0 1 1982 1983 1860461.000000 1860461.000000 1860461.000000
20 25 0 1 1982 1983 1508801.000000 1508801.000000 1508801.000000
25 30 0 1 1982 1983 1220672.000000 1220672.000000 1220672.000000
30 35 0 1 1982 1983 932216.000000 932216.000000 932216.000000
35 40 0 1 1982 1983 651835.000000 651835.000000 651835.000000
40 45 0 1 1982 1983 532520.000000 532520.000000 532520.000000
45 50 0 1 1982 1983 504422.000000 504422.000000 504422.000000
50 55 0 1 1982 1983 430071.000000 430071.000000 430071.000000
55 60 0 1 1982 1983 337476.000000 337476.000000 337476.000000
60 65 0 1 1982 1983 265205.000000 265205.000000 265205.000000
65 70 0 1 1982 1983 204804.000000 204804.000000 204804.000000
70 120 0 1 1982 1983 314446.000000 314446.000000 314446.000000
0 5 0 1 1983 1984 3725989.000000 3725989.000000 3725989.000000
5 10 0 1 1983 1984 3003798.000000 3003798.000000 3003798.000000
10 15 0 1 1983 1984 2409874.000000 2409874.000000 2409874.000000
15 20 0 1 1983 1984 1933040.000000 1933040.000000 1933040.000000
20 25 0 1 1983 1984 1569194.000000 1569194.000000 1569194.000000
25 30 0 1 1983 1984 1268110.000000 1268110.000000 1268110.000000
30 35 0 1 1983 1984 988229.000000 988229.000000 988229.000000
35 40 0 1 1983 1984 699040.000000 699040.000000 699040.000000
40 45 0 1 1983 1984 535362.000000 535362.000000 535362.000000
45 50 0 1 1983 1984 508008.000000 508008.000000 508008.000000
50 55 0 1 1983 1984 445378.000000 445378.000000 445378.000000
55 60 0 1 1983 1984 349253.000000 349253.000000 349253.000000
60 65 0 1 1983 1984 272180.000000 272180.000000 272180.000000
65 70 0 1 1983 1984 209581.000000 209581.000000 209581.000000
70 120 0 1 1983 1984 322368.000000 322368.000000 322368.000000
0 5 0 1 1984 1985 3849636.000000 3849636.000000 3849636.000000
5 10 0 1 1984 1985 3116353.000000 3116353.000000 3116353.000000
10 15 0 1 1984 1985 2516039.000000 2516039.000000 2516039.000000
15 20 0 1 1984 1985 2011344.000000 2011344.000000 2011344.000000
20 25 0 1 1984 1985 1632000.000000 1632000.000000 1632000.000000
25 30 0 1 1984 1985 1316998.000000 1316998.000000 1316998.000000
30 35 0 1 1984 1985 1043238.000000 1043238.000000 1043238.000000
35 40 0 1 1984 1985 750056.000000 750056.000000 750056.000000
40 45 0 1 1984 1985 545468.000000 545468.000000 545468.000000
45 50 0 1 1984 1985 510537.000000 510537.000000 510537.000000
50 55 0 1 1984 1985 458866.000000 458866.000000 458866.000000
55 60 0 1 1984 1985 362144.000000 362144.000000 362144.000000
60 65 0 1 1984 1985 280371.000000 280371.000000 280371.000000
65 70 0 1 1984 1985 215026.000000 215026.000000 215026.000000
70 120 0 1 1984 1985 329662.000000 329662.000000 329662.000000
0 5 0 1 1985 1986 3968816.000000 3968816.000000 3968816.000000
5 10 0 1 1985 1986 3227264.000000 3227264.000000 3227264.000000
10 15 0 1 1985 1986 2622947.000000 2622947.000000 2622947.000000
15 20 0 1 1985 1986 2096324.000000 2096324.000000 2096324.000000
20 25 0 1 1985 1986 1697063.000000 1697063.000000 1697063.000000
25 30 0 1 1985 1986 1368913.000000 1368913.000000 1368913.000000
30 35 0 1 1985 1986 1096326.000000 1096326.000000 1096326.000000
35 40 0 1 1985 1986 802217.000000 802217.000000 802217.000000
40 45 0 1 1985 1986 565597.000000 565597.000000 565597.000000
45 50 0 1 1985 1986 512651.000000 512651.000000 512651.000000
50 55 0 1 1985 1986 469501.000000 469501.000000 469501.000000
55 60 0 1 1985 1986 376075.000000 376075.000000 376075.000000
60 65 0 1 1985 1986 289907.000000 289907.000000 289907.000000
65 70 0 1 1985 1986 221143.000000 221143.000000 221143.000000
70 120 0 1 1985 1986 336481.000000 336481.000000 336481.000000
0 5 0 1 1986 1987 4095055.000000 4095055.000000 4095055.000000
5 10 0 1 1986 1987 3349976.000000 3349976.000000 3349976.000000
10 15 0 1 1986 1987 2728957.000000 2728957.000000 2728957.000000
15 20 0 1 1986 1987 2183293.000000 2183293.000000 2183293.000000
20 25 0 1 1986 1987 1761000.000000 1761000.000000 1761000.000000
25 30 0 1 1986 1987 1420761.000000 1420761.000000 1420761.000000
30 35 0 1 1986 1987 1144616.000000 1144616.000000 1144616.000000
35 40 0 1 1986 1987 853473.000000 853473.000000 853473.000000
40 45 0 1 1986 1987 593536.000000 593536.000000 593536.000000
45 50 0 1 1986 1987 512697.000000 512697.000000 512697.000000
50 55 0 1 1986 1987 475849.000000 475849.000000 475849.000000
55 60 0 1 1986 1987 388995.000000 388995.000000 388995.000000
60 65 0 1 1986 1987 298327.000000 298327.000000 298327.000000
65 70 0 1 1986 1987 225651.000000 225651.000000 225651.000000
70 120 0 1 1986 1987 346440.000000 346440.000000 346440.000000
0 5 0 1 1987 1988 4204810.000000 4204810.000000 4204810.000000
5 10 0 1 1987 1988 3475356.000000 3475356.000000 3475356.000000
10 15 0 1 1987 1988 2838042.000000 2838042.000000 2838042.000000
15 20 0 1 1987 1988 2277952.000000 2277952.000000 2277952.000000
20 25 0 1 1987 1988 1827964.000000 1827964.000000 1827964.000000
25 30 0 1 1987 1988 1476155.000000 1476155.000000 1476155.000000
30 35 0 1 1987 1988 1190848.000000 1190848.000000 1190848.000000
35 40 0 1 1987 1988 906536.000000 906536.000000 906536.000000
40 45 0 1 1987 1988 631222.000000 631222.000000 631222.000000
45 50 0 1 1987 1988 512382.000000 512382.000000 512382.000000
50 55 0 1 1987 1988 480454.000000 480454.000000 480454.000000
55 60 0 1 1987 1988 403206.000000 403206.000000 403206.000000
60 65 0 1 1987 1988 307905.000000 307905.000000 307905.000000
65 70 0 1 1987 1988 230833.000000 230833.000000 230833.000000
70 120 0 1 1987 1988 355653.000000 355653.000000 355653.000000
0 5 0 1 1988 1989 4299699.000000 4299699.000000 4299699.000000
5 10 0 1 1988 1989 3600673.000000 3600673.000000 3600673.000000
10 15 0 1 1988 1989 2950007.000000 2950007.000000 2950007.000000
15 20 0 1 1988 1989 2378861.000000 2378861.000000 2378861.000000
20 25 0 1 1988 1989 1899016.000000 1899016.000000 1899016.000000
25 30 0 1 1988 1989 1534730.000000 1534730.000000 1534730.000000
30 35 0 1 1988 1989 1236391.000000 1236391.000000 1236391.000000
35 40 0 1 1988 1989 960203.000000 960203.000000 960203.000000
40 45 0 1 1988 1989 676239.000000 676239.000000 676239.000000
45 50 0 1 1988 1989 514749.000000 514749.000000 514749.000000
50 55 0 1 1988 1989 483620.000000 483620.000000 483620.000000
55 60 0 1 1988 1989 417470.000000 417470.000000 417470.000000
60 65 0 1 1988 1989 318651.000000 318651.000000 318651.000000
65 70 0 1 1988 1989 236911.000000 236911.000000 236911.000000
70 120 0 1 1988 1989 364222.000000 364222.000000 364222.000000
0 5 0 1 1989 1990 4380089.000000 4380089.000000 4380089.000000
5 10 0 1 1989 1990 3722133.000000 3722133.000000 3722133.000000
10 15 0 1 1989 1990 3065535.000000 3065535.000000 3065535.000000
15 20 0 1 1989 1990 2484073.000000 2484073.000000 2484073.000000
20 25 0 1 1989 1990 1976131.000000 1976131.000000 1976131.000000
25 30 0 1 1989 1990 1596007.000000 1596007.000000 1596007.000000
30 35 0 1 1989 1990 1283669.000000 1283669.000000 1283669.000000
35 40 0 1 1989 1990 1013093.000000 1013093.000000 1013093.000000
40 45 0 1 1989 1990 724897.000000 724897.000000 724897.000000
45 50 0 1 1989 1990 524272.000000 524272.000000 524272.000000
50 55 0 1 1989 1990 485868.000000 485868.000000 485868.000000
55 60 0 1 1989 1990 430101.000000 430101.000000 430101.000000
60 65 0 1 1989 1990 330657.000000 330657.000000 330657.000000
65 70 0 1 1989 1990 244222.000000 244222.000000 244222.000000
70 120 0 1 1989 1990 372275.000000 372275.000000 372275.000000
0 5 0 1 1990 1991 4447720.000000 4447720.000000 4447720.000000
5 10 0 1 1990 1991 3834776.000000 3834776.000000 3834776.000000
10 15 0 1 1990 1991 3184694.000000 3184694.000000 3184694.000000
15 20 0 1 1990 1991 2592468.000000 2592468.000000 2592468.000000
20 25 0 1 1990 1991 2060744.000000 2060744.000000 2060744.000000
25 30 0 1 1990 1991 1660006.000000 1660006.000000 1660006.000000
30 35 0 1 1990 1991 1334336.000000 1334336.000000 1334336.000000
35 40 0 1 1990 1991 1064452.000000 1064452.000000 1064452.000000
40 45 0 1 1990 1991 774843.000000 774843.000000 774843.000000
45 50 0 1 1990 1991 543575.000000 543575.000000 543575.000000
50 55 0 1 1990 1991 487866.000000 487866.000000 487866.000000
55 60 0 1 1990 1991 440182.000000 440182.000000 440182.000000
60 65 0 1 1990 1991 343862.000000 343862.000000 343862.000000
65 70 0 1 1990 1991 252965.000000 252965.000000 252965.000000
70 120 0 1 1990 1991 380018.000000 380018.000000 380018.000000
0 5 0 1 1991 1992 4511451.000000 4511451.000000 4511451.000000
5 10 0 1 1991 1992 3950178.000000 3950178.000000 3950178.000000
10 15 0 1 1991 1992 3305587.000000 3305587.000000 3305587.000000
15 20 0 1 1991 1992 2702532.000000 2702532.000000 2702532.000000
20 25 0 1 1991 1992 2152925.000000 2152925.000000 2152925.000000
25 30 0 1 1991 1992 1726198.000000 1726198.000000 1726198.000000
30 35 0 1 1991 1992 1385511.000000 1385511.000000 1385511.000000
35 40 0 1 1991 1992 1110493.000000 1110493.000000 1110493.000000
40 45 0 1 1991 1992 823932.000000 823932.000000 823932.000000
45 50 0 1 1991 1992 569994.000000 569994.000000 569994.000000
50 55 0 1 1991 1992 487668.000000 487668.000000 487668.000000
55 60 0 1 1991 1992 445832.000000 445832.000000 445832.000000
60 65 0 1 1991 1992 355388.000000 355388.000000 355388.000000
65 70 0 1 1991 1992 260286.000000 260286.000000 260286.000000
70 120 0 1 1991 1992 391623.000000 391623.000000 391623.000000
0 5 0 1 1992 1993 4545250.000000 4545250.000000 4545250.000000
5 10 0 1 1992 1993 4061030.000000 4061030.000000 4061030.000000
10 15 0 1 1992 1993 3432114.000000 3432114.000000 3432114.000000
15 20 0 1 1992 1993 2816321.000000 2816321.000000 2816321.000000
20 25 0 1 1992 1993 2254435.000000 2254435.000000 2254435.000000
25 30 0 1 1992 1993 1797783.000000 1797783.000000 1797783.000000
30 35 0 1 1992 1993 1442059.000000 1442059.000000 1442059.000000
35 40 0 1 1992 1993 1155684.000000 1155684.000000 1155684.000000
40 45 0 1 1992 1993 875155.000000 875155.000000 875155.000000
45 50 0 1 1992 1993 606220.000000 606220.000000 606220.000000
50 55 0 1 1992 1993 487474.000000 487474.000000 487474.000000
55 60 0 1 1992 1993 450327.000000 450327.000000 450327.000000
60 65 0 1 1992 1993 368519.000000 368519.000000 368519.000000
65 70 0 1 1992 1993 268838.000000 268838.000000 268838.000000
70 120 0 1 1992 1993 402744.000000 402744.000000 402744.000000
0 5 0 1 1993 1994 4565426.000000 4565426.000000 4565426.000000
5 10 0 1 1993 1994 4161807.000000 4161807.000000 4161807.000000
10 15 0 1 1993 1994 3560219.000000 3560219.000000 3560219.000000
